ID,TYPE,USER_ID,GENDER,AGE,name,size_mb
60001,1,28449,NONE,21,060001_1_028449_NONE_21.jpg,4.186192512512207
60001,2,28449,NONE,21,060001_2_028449_NONE_21.jpg,4.104523658752441
60001,3,28449,NONE,21,060001_3_028449_NONE_21.jpg,4.444293975830078
60001,4,28449,NONE,21,060001_4_028449_NONE_21.jpg,4.286718368530273
60002,1,28450,FEMALE,30,060002_1_028450_FEMALE_30.jpg,1.8069639205932617
60002,2,28450,FEMALE,30,060002_2_028450_FEMALE_30.jpg,1.811269760131836
60002,3,28450,FEMALE,30,060002_3_028450_FEMALE_30.jpg,1.7926549911499023
60002,4,28450,FEMALE,30,060002_4_028450_FEMALE_30.jpg,1.774123191833496
60003,1,28451,FEMALE,65,060003_1_028451_FEMALE_65.jpg,4.341238021850586
60003,2,28451,FEMALE,65,060003_2_028451_FEMALE_65.jpg,4.321096420288086
60003,3,28451,FEMALE,65,060003_3_028451_FEMALE_65.jpg,4.4472551345825195
60003,4,28451,FEMALE,65,060003_4_028451_FEMALE_65.jpg,4.2520647048950195
60004,1,28452,MALE,31,060004_1_028452_MALE_31.jpg,1.3111610412597656
60004,2,28452,MALE,31,060004_2_028452_MALE_31.jpg,4.071722030639648
60004,3,28452,MALE,31,060004_3_028452_MALE_31.jpg,4.405890464782715
60004,4,28452,MALE,31,060004_4_028452_MALE_31.jpg,4.3353118896484375
60005,1,23834,FEMALE,33,060005_1_023834_FEMALE_33.jpg,3.9698543548583984
60005,2,23834,FEMALE,33,060005_2_023834_FEMALE_33.jpg,4.005880355834961
60005,3,23834,FEMALE,33,060005_3_023834_FEMALE_33.jpg,3.8591489791870117
60005,4,23834,FEMALE,33,060005_4_023834_FEMALE_33.jpg,3.9049606323242188
60006,1,15021,FEMALE,39,060006_1_015021_FEMALE_39.jpg,2.921872138977051
60006,2,15021,FEMALE,39,060006_2_015021_FEMALE_39.jpg,2.9000368118286133
60006,3,15021,FEMALE,39,060006_3_015021_FEMALE_39.jpg,3.0001821517944336
60006,4,15021,FEMALE,39,060006_4_015021_FEMALE_39.jpg,2.857969284057617
60007,1,28453,FEMALE,36,060007_1_028453_FEMALE_36.jpg,3.3602657318115234
60007,2,28453,FEMALE,36,060007_2_028453_FEMALE_36.jpg,3.343198776245117
60007,3,28453,FEMALE,36,060007_3_028453_FEMALE_36.jpg,3.019585609436035
60007,4,28453,FEMALE,36,060007_4_028453_FEMALE_36.jpg,3.0954017639160156
60008,1,15344,FEMALE,35,060008_1_015344_FEMALE_35.jpg,3.9148969650268555
60008,2,15344,FEMALE,35,060008_2_015344_FEMALE_35.jpg,4.056797981262207
60008,3,15344,FEMALE,35,060008_3_015344_FEMALE_35.jpg,4.151610374450684
60008,4,15344,FEMALE,35,060008_4_015344_FEMALE_35.jpg,4.480269432067871
60009,1,19350,FEMALE,21,060009_1_019350_FEMALE_21.jpg,1.2150897979736328
60009,2,19350,FEMALE,21,060009_2_019350_FEMALE_21.jpg,1.1517133712768555
60009,3,19350,FEMALE,21,060009_3_019350_FEMALE_21.jpg,1.1658611297607422
60009,4,19350,FEMALE,21,060009_4_019350_FEMALE_21.jpg,1.1019163131713867
60010,1,28454,MALE,22,060010_1_028454_MALE_22.jpg,2.5379467010498047
60010,2,28454,MALE,22,060010_2_028454_MALE_22.jpg,2.468926429748535
60010,3,28454,MALE,22,060010_3_028454_MALE_22.jpg,2.4483861923217773
60010,4,28454,MALE,22,060010_4_028454_MALE_22.jpg,1.9132423400878906
60011,1,15258,MALE,35,060011_1_015258_MALE_35.jpg,0.6619300842285156
60011,2,15258,MALE,35,060011_2_015258_MALE_35.jpg,0.6854829788208008
60011,3,15258,MALE,35,060011_3_015258_MALE_35.jpg,0.7150974273681641
60011,4,15258,MALE,35,060011_4_015258_MALE_35.jpg,0.6803350448608398
60012,1,20004,MALE,27,060012_1_020004_MALE_27.jpg,1.1874217987060547
60012,2,20004,MALE,27,060012_2_020004_MALE_27.jpg,1.3530826568603516
60012,3,20004,MALE,27,060012_3_020004_MALE_27.jpg,1.1793498992919922
60012,4,20004,MALE,27,060012_4_020004_MALE_27.jpg,1.3481664657592773
60013,1,14380,MALE,34,060013_1_014380_MALE_34.jpg,1.5906524658203125
60013,2,14380,MALE,34,060013_2_014380_MALE_34.jpg,1.5338830947875977
60013,3,14380,MALE,34,060013_3_014380_MALE_34.jpg,1.2886648178100586
